# id	file_path	transparent_color_r	g	b
[TEXTURES]
101	textures\CarAndMainRight.png	255	255	255
100	textures\CarAndMainLeft.png	255	255	255
4	textures\map1.png	0	0	0
50	textures\enemies3.png	255	255	255
5	textures\jason.jpeg	255	255	255
6	textures\items.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
#Bullet
123	91	20	115	28	100
124	117	20	123	42	100
#enemy1
8000	157	1487	179	1505	50
8100	105	109	121	125	6
#bg
10001	0	700	300	1440	4
#Gun
20001	12	3	20	11	100
20002	390	3	398	11	101
20003	30	3	38	11	100
#Main
70001	39	3	55	11	100
70002	355	3	371	11	101
70003	73	3	89	19	100
70004	108	3	124	19	100
#RightWheel
30001	390	21	398	29	101
30002	399	21	407	29	101
30003	372	21	380	29	101
30004	381	21	389	29	101
#LeftWheel
40001	12	21	20	29	100
40002	3	21	11	29	100
40003	30	21	38	29	100
40004	21	21	29	29	100
#IdleWheel
50001	12	21	20	29	100
#Connector
60001	39	21	47	29	100
# Brick
1000000	0	896	8	904	4
1000001	0	904	8	912	4
1000002	0	912	8	920	4
1000003	0	920	8	928	4
1000004	0	1144	8	1152	4
1000005	0	1184	8	1192	4
1000006	8	896	16	904	4
1000007	8	928	16	936	4
1000008	8	1144	16	1152	4
1000009	8	1184	16	1192	4
1000010	16	896	24	904	4
1000011	16	928	24	936	4
1000012	16	1144	24	1152	4
1000013	16	1184	24	1192	4
1000014	24	896	32	904	4
1000015	24	928	32	936	4
1000016	24	1144	32	1152	4
1000017	24	1184	32	1192	4
1000018	32	896	40	904	4
1000019	32	928	40	936	4
1000020	32	1144	40	1152	4
1000021	32	1184	40	1192	4
1000022	40	896	48	904	4
1000023	40	928	48	936	4
1000024	40	1144	48	1152	4
1000025	40	1184	48	1192	4
1000026	48	896	56	904	4
1000027	48	928	56	936	4
1000028	48	1144	56	1152	4
1000029	48	1184	56	1192	4
1000030	56	856	64	864	4
1000031	56	864	64	872	4
1000032	56	872	64	880	4
1000033	56	880	64	888	4
1000034	56	888	64	896	4
1000035	56	896	64	904	4
1000036	56	928	64	936	4
1000037	56	1080	64	1088	4
1000038	56	1088	64	1096	4
1000039	56	1096	64	1104	4
1000040	56	1104	64	1112	4
1000041	56	1112	64	1120	4
1000042	56	1120	64	1128	4
1000043	56	1128	64	1136	4
1000044	56	1136	64	1144	4
1000045	56	1144	64	1152	4
1000046	56	1184	64	1192	4
1000047	64	856	72	864	4
1000048	64	928	72	936	4
1000049	64	1080	72	1088	4
1000050	64	1184	72	1192	4
1000051	72	856	80	864	4
1000052	72	928	80	936	4
1000053	72	1080	80	1088	4
1000054	72	1184	80	1192	4
1000055	80	856	88	864	4
1000056	80	928	88	936	4
1000057	80	1080	88	1088	4
1000058	80	1184	88	1192	4
1000059	88	856	96	864	4
1000060	88	928	96	936	4
1000061	88	936	96	944	4
1000062	88	944	96	952	4
1000063	88	952	96	960	4
1000064	88	960	96	968	4
1000065	88	1016	96	1024	4
1000066	88	1024	96	1032	4
1000067	88	1032	96	1040	4
1000068	88	1040	96	1048	4
1000069	88	1048	96	1056	4
1000070	88	1056	96	1064	4
1000071	88	1064	96	1072	4
1000072	88	1072	96	1080	4
1000073	88	1080	96	1088	4
1000074	88	1184	96	1192	4
1000075	96	856	104	864	4
1000076	96	960	104	968	4
1000077	96	1016	104	1024	4
1000078	96	1152	104	1160	4
1000079	96	1160	104	1168	4
1000080	96	1168	104	1176	4
1000081	96	1176	104	1184	4
1000082	96	1184	104	1192	4
1000083	104	856	112	864	4
1000084	104	960	112	968	4
1000085	104	1016	112	1024	4
1000086	104	1152	112	1160	4
1000087	112	856	120	864	4
1000088	112	960	120	968	4
1000089	112	1016	120	1024	4
1000090	112	1152	120	1160	4
1000091	120	856	128	864	4
1000092	120	960	128	968	4
1000093	120	968	128	976	4
1000094	120	976	128	984	4
1000095	120	984	128	992	4
1000096	120	992	128	1000	4
1000097	120	1016	128	1024	4
1000098	120	1152	128	1160	4
1000099	128	856	136	864	4
1000100	128	864	136	872	4
1000101	128	872	136	880	4
1000102	128	880	136	888	4
1000103	128	888	136	896	4
1000104	128	992	136	1000	4
1000105	128	1016	136	1024	4
1000106	128	1120	136	1128	4
1000107	128	1128	136	1136	4
1000108	128	1136	136	1144	4
1000109	128	1144	136	1152	4
1000110	128	1152	136	1160	4
1000111	136	888	144	896	4
1000112	136	992	144	1000	4
1000113	136	1016	144	1024	4
1000114	136	1120	144	1128	4
1000115	144	888	152	896	4
1000116	144	992	152	1000	4
1000117	144	1016	152	1024	4
1000118	144	1120	152	1128	4
1000119	152	888	160	896	4
1000120	152	992	160	1000	4
1000121	152	1000	160	1008	4
1000122	152	1008	160	1016	4
1000123	152	1016	160	1024	4
1000124	152	1120	160	1128	4
1000125	160	888	168	896	4
1000126	160	896	168	904	4
1000127	160	904	168	912	4
1000128	160	912	168	920	4
1000129	160	920	168	928	4
1000130	160	928	168	936	4
1000131	160	936	168	944	4
1000132	160	944	168	952	4
1000133	160	952	168	960	4
1000134	160	1056	168	1064	4
1000135	160	1064	168	1072	4
1000136	160	1072	168	1080	4
1000137	160	1080	168	1088	4
1000138	160	1120	168	1128	4
1000139	168	952	176	960	4
1000140	168	1056	176	1064	4
1000141	168	1080	176	1088	4
1000142	168	1120	176	1128	4
1000143	176	952	184	960	4
1000144	176	1056	184	1064	4
1000145	176	1080	184	1088	4
1000146	176	1120	184	1128	4
1000147	184	952	192	960	4
1000148	184	1056	192	1064	4
1000149	184	1080	192	1088	4
1000150	184	1120	192	1128	4
1000151	192	952	200	960	4
1000152	192	960	200	968	4
1000153	192	968	200	976	4
1000154	192	976	200	984	4
1000155	192	984	200	992	4
1000156	192	992	200	1000	4
1000157	192	1000	200	1008	4
1000158	192	1008	200	1016	4
1000159	192	1016	200	1024	4
1000160	192	1024	200	1032	4
1000161	192	1032	200	1040	4
1000162	192	1040	200	1048	4
1000163	192	1048	200	1056	4
1000164	192	1056	200	1064	4
1000165	192	1080	200	1088	4
1000166	192	1120	200	1128	4
#Portal
101109	1632	1376	1696	1448	4
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#enemy1
9100	8000	100
9101	8100	100
#Bullet
133	123	100
134	124	100
#BG
10	10001	100
#gun 
20	20001	100
21	20002	100
22	20003	100
#RightWheel
30	30001	100	30002	100	30003	100	30004	100
#LeftWheel
40	40001	100	40002	100	40003	100	40004	100
#connector
60	60001	100
#idleWheel
50	50001	100
#main
70	70001	100
71	70002	100
72	70003	100
73	70004	100
#moving right 
301	30001	30	30002	30	30003	30	30004	30
#moving left 
401	40001	30	40002	30	40003	30	40004	30
#Portal
201107	101109	100
# Brick
2000000	1000000	100
2000001	1000001	100
2000002	1000002	100
2000003	1000003	100
2000004	1000004	100
2000005	1000005	100
2000006	1000006	100
2000007	1000007	100
2000008	1000008	100
2000009	1000009	100
2000010	1000010	100
2000011	1000011	100
2000012	1000012	100
2000013	1000013	100
2000014	1000014	100
2000015	1000015	100
2000016	1000016	100
2000017	1000017	100
2000018	1000018	100
2000019	1000019	100
2000020	1000020	100
2000021	1000021	100
2000022	1000022	100
2000023	1000023	100
2000024	1000024	100
2000025	1000025	100
2000026	1000026	100
2000027	1000027	100
2000028	1000028	100
2000029	1000029	100
2000030	1000030	100
2000031	1000031	100
2000032	1000032	100
2000033	1000033	100
2000034	1000034	100
2000035	1000035	100
2000036	1000036	100
2000037	1000037	100
2000038	1000038	100
2000039	1000039	100
2000040	1000040	100
2000041	1000041	100
2000042	1000042	100
2000043	1000043	100
2000044	1000044	100
2000045	1000045	100
2000046	1000046	100
2000047	1000047	100
2000048	1000048	100
2000049	1000049	100
2000050	1000050	100
2000051	1000051	100
2000052	1000052	100
2000053	1000053	100
2000054	1000054	100
2000055	1000055	100
2000056	1000056	100
2000057	1000057	100
2000058	1000058	100
2000059	1000059	100
2000060	1000060	100
2000061	1000061	100
2000062	1000062	100
2000063	1000063	100
2000064	1000064	100
2000065	1000065	100
2000066	1000066	100
2000067	1000067	100
2000068	1000068	100
2000069	1000069	100
2000070	1000070	100
2000071	1000071	100
2000072	1000072	100
2000073	1000073	100
2000074	1000074	100
2000075	1000075	100
2000076	1000076	100
2000077	1000077	100
2000078	1000078	100
2000079	1000079	100
2000080	1000080	100
2000081	1000081	100
2000082	1000082	100
2000083	1000083	100
2000084	1000084	100
2000085	1000085	100
2000086	1000086	100
2000087	1000087	100
2000088	1000088	100
2000089	1000089	100
2000090	1000090	100
2000091	1000091	100
2000092	1000092	100
2000093	1000093	100
2000094	1000094	100
2000095	1000095	100
2000096	1000096	100
2000097	1000097	100
2000098	1000098	100
2000099	1000099	100
2000100	1000100	100
2000101	1000101	100
2000102	1000102	100
2000103	1000103	100
2000104	1000104	100
2000105	1000105	100
2000106	1000106	100
2000107	1000107	100
2000108	1000108	100
2000109	1000109	100
2000110	1000110	100
2000111	1000111	100
2000112	1000112	100
2000113	1000113	100
